GROUP	SCORE	PATH
VECTOR_INDEX	21	backend/tests/unit/onyx/document_index/vespa/test_vespa_batch_flush.py
VECTOR_INDEX	20	backend/onyx/background/celery/apps/app_base.py
VECTOR_INDEX	20	backend/onyx/document_index/opensearch/opensearch_document_index.py
VECTOR_INDEX	20	backend/onyx/indexing/port_reembed.py
VECTOR_INDEX	20	backend/onyx/main.py
VECTOR_INDEX	19	backend/onyx/tools/tool_implementations/search/search_tool.py
VECTOR_INDEX	18	backend/onyx/document_index/vespa/indexing_utils.py
VECTOR_INDEX	18	backend/tests/unit/onyx/test_startup_validation.py
VECTOR_INDEX	17	backend/onyx/document_index/factory.py
SUMMARY	VECTOR_INDEX	25
RETRIEVAL	126	backend/onyx/connectors/google_drive/connector.py
RETRIEVAL	97	backend/onyx/document_index/opensearch/search.py
RETRIEVAL	71	backend/onyx/document_index/opensearch/client.py
RETRIEVAL	62	backend/onyx/tools/tool_implementations/search/search_tool.py
RETRIEVAL	52	backend/tests/external_dependency_unit/opensearch/test_opensearch_client.py
RETRIEVAL	41	backend/tests/unit/onyx/connectors/google_drive/test_slim_retrieval.py
RETRIEVAL	37	backend/onyx/document_index/opensearch/opensearch_document_index.py
RETRIEVAL	34	backend/onyx/connectors/google_drive/doc_conversion.py
RETRIEVAL	33	backend/tests/daily/connectors/google_drive/consts_and_utils.py
RETRIEVAL	33	backend/tests/daily/connectors/google_drive/test_service_acct.py
RETRIEVAL	32	backend/onyx/document_index/interfaces_new.py
RETRIEVAL	32	backend/onyx/mcp_server/tools/search.py
RETRIEVAL	32	backend/tests/external_dependency_unit/document_index/test_document_index.py
RETRIEVAL	30	backend/onyx/tools/tool_implementations/web_search/web_search_tool.py
RETRIEVAL	29	backend/tests/regression/search_quality/run_search_eval.py
RETRIEVAL	28	backend/onyx/prompts/kg_prompts.py
RETRIEVAL	24	backend/ee/onyx/server/query_and_chat/search_backend.py
RETRIEVAL	24	backend/tests/integration/tests/web_search/test_web_search_api.py
RETRIEVAL	22	backend/tests/daily/connectors/google_drive/test_user_1_oauth.py
RETRIEVAL	22	backend/tests/external_dependency_unit/tools/test_oauth_config_crud.py
