SCORE	PATH	SYMBOL	START	END	IDENTITY	ACL	FILTER	RETRIEVAL	BACKEND	RERANK	CONTEXT	CALLS
650	backend/onyx/tools/tool_implementations/search/search_tool.py	SearchTool.run	664	1231	17	11	6	170	8	0	14	BaseFilters,EmbeddingModel.from_db_model,OnyxError,Packet,RuntimeError,SearchCycle,SearchDocsResponse,SearchToolDocumentsDelta,SearchToolFilterDelta,SearchToolQueriesDelta,ToolCallException,ToolResponse,_build_scope_note,_trim_sections_by_tokens,all_queries.append,all_queries_with_weights.sort,any,bool,build_access_filters_for_user,cast,convert_inference_sections_to_llm_string,convert_inference_sections_to_search_docs,deduplicate_queries,dict.fromkeys,expand_section_with_context,fetch_unique_document_sources,filter_document_set_names_by_user_access,format,get_current_search_settings,get_federated_retrieval_functions,get_llm_token_counter,get_session_with_current_tenant,info.source.to_non_federated_source,issubset,len,list,log_function_time,logger.debug,logger.info,logger.warning
502	backend/onyx/document_index/opensearch/search.py	DocumentQuery._get_search_filters	871	1369	12	36	28	73	1	0	0	ValueError,_get_acl_visibility_filter,_get_attached_document_id_filter,_get_chunk_index_filter,_get_date_range_clause,_get_document_set_filter,_get_document_time_filter,_get_hierarchy_node_filter,_get_persona_filter,_get_source_type_filter,_get_tag_filter,_get_user_project_filter,append,clauses.append,created_at_range.has_bounds,datetime.now,datetime_to_utc,filter_clauses.append,filter_clauses.extend,int,len,list,timedelta,timestamp,updated_at_range.has_bounds
398	backend/onyx/deep_research/dr_loop.py	run_deep_research_llm_loop	206	828	27	0	1	95	0	0	55	CLARIFICATION_PROMPT.format,ChatMessageSimple,ChatTraceMetadata,DeepResearchPlanDelta,DeepResearchPlanStart,DynamicCitationProcessor,OverallStop,Packet,Placement,RESEARCH_PLAN_PROMPT.format,RuntimeError,SectionEnd,ToolCallInfo,ToolCallSimple,TopLevelBranching,_get_research_agent_tool_id,build_language_section,cast,check_special_tool_calls,construct_message_history,create_think_tool_token_processor,current_tool_call.to_msg_str,emitter.emit,enumerate,format,function_span,generate_final_report,get_clarification_tool_definitions,get_current_llm_day_time,get_orchestrator_tools,initialize_litellm,isinstance,len,log_function_time,logger.error,logger.info,logger.warning,model_dump,model_is_reasoning_model,next
356	backend/onyx/background/celery/tasks/docprocessing/tasks.py	check_for_indexing	853	1217	23	52	0	34	0	0	0	EmbeddingModel.from_db_model,IndexAttempt.celery_task_id.is_,IndexAttempt.status.in_,IndexAttempt.targeted_reindex_job_id.is_,OnyxRuntime.get_build_fence_lookup_table_interval,_KickoffResult,_get_fence_validation_block_expiration,_kickoff_indexing_tasks,all,check_and_perform_index_swap,db_session.execute,fetch_indexable_standard_connector_credential_pair_ids,fresh_attempt.status.is_terminal,get_connector_credential_pair_from_id,get_current_search_settings,get_index_attempt,get_redis_client,get_redis_replica_client,get_secondary_search_settings,get_session_with_current_tenant,is_fence,is_in_repeated_error_state,lock_beat.acquire,lock_beat.owned,lock_beat.reacquire,lock_beat.release,logger.warning,mark_attempt_failed,maybe_mark_tenant_active,monitor_indexing_attempt_progress,notify_admins_of_connector_alert,on_connector_error_state_change,redis_client.exists,redis_client.lock,redis_client.sadd,redis_client.set,redis_client.sismember,redis_client_replica.scan_iter,redis_lock_dump,scalars
330	backend/onyx/chat/llm_loop.py	run_llm_loop	743	1411	26	0	1	42	0	0	148	ChatMessageSimple,ChatTraceMetadata,DynamicCitationProcessor,LlmStepResult,MemoryToolResponseSnapshot,OverallStop,Packet,Placement,RuntimeError,ToolCallDebug,ToolCallInfo,ToolCallSimple,TopLevelBranching,ValueError,_build_context_file_citation_mapping,_build_empty_llm_response_error,_try_fallback_tool_extraction,add_memory,any,bool,build_python_chat_files_from_search_docs,build_system_prompt,chat_files.extend,citation_processor.get_next_citation_number,citation_processor.update_citation_mapping,compute_all_tool_tokens,construct_message_history,create_tool_call_failure_messages,emitter.emit,extract_url_snippet_map,gathered_documents.extend,get_current_incognito_record_mode,get_default_base_system_prompt,get_session_with_current_tenant,initialize_litellm,int,isinstance,json.dumps,json.loads,len
330	backend/onyx/chat/save_chat.py	save_chat_turn	169	366	0	0	0	98	0	0	36	ChatStateContainer.create_search_doc_key,_create_and_link_tool_calls,_extract_referenced_file_descriptors,add_search_docs_to_chat_message,all_search_doc_ids_set.add,all_search_docs.items,citation_to_doc.items,create_db_search_doc,db_session.commit,default_tokenizer.encode,get_tokenizer,len,list,logger.info,logger.warning,sanitize_string,search_doc_ids_for_tool.append,search_doc_key_to_id.values,set
328	backend/onyx/background/celery/tasks/opensearch_migration/tasks.py	migrate_chunks_from_vespa_to_opensearch_task	73	334	32	0	0	46	42	0	0	IndexingSetting.from_db_model,OpenSearchDocumentIndex,TenantState,VespaDocumentIndex,build_sanitized_to_original_doc_id_mapping,get_current_search_settings,get_current_tenant_id,get_redis_client,get_session_with_current_tenant,get_vespa_http_client,get_vespa_visit_state,is_continuation_token_done_for_all_slices,is_migration_completed,len,lock.acquire,lock.owned,lock.release,mark_migration_completed_time_if_not_set_with_commit,opensearch_document_index.index_raw_chunks,r.lock,shared_task,task_logger.debug,task_logger.error,task_logger.exception,task_logger.info,task_logger.warning,time.monotonic,traceback.print_exc,transform_vespa_chunks_to_opensearch_chunks,try_insert_opensearch_tenant_migration_record_with_commit,update_vespa_visit_progress_with_commit,vespa_document_index.get_all_raw_document_chunks_paginated,vespa_document_index.get_chunk_count
328	backend/onyx/background/celery/tasks/opensearch_migration/transformer.py	transform_vespa_chunks_to_opensearch_chunks	184	348	18	9	0	14	70	0	4	DocumentChunk,ValueError,_extract_content_vector,_extract_title_vector,_transform_vespa_acl_to_opensearch_acl,_transform_vespa_document_sets_to_opensearch_document_sets,datetime.fromtimestamp,errored_chunks.append,logger.exception,logger.warning,result.append,sanitized_to_original_doc_id_mapping.get,traceback.print_exc,vespa_chunk.get
306	backend/onyx/tools/fake_tools/research_agent.py	run_research_agent_call	220	645	10	0	2	77	0	0	47	ChatMessageSimple,DynamicCitationProcessor,Packet,PacketException,Placement,ResearchAgentCallResult,ResearchAgentStart,ToolCallInfo,ToolCallSimple,ValueError,any,check_special_tool_calls,citation_processor.get_next_citation_number,citation_processor.get_seen_citations,compute_all_tool_tokens,compute_tool_definition_tokens,construct_message_history,create_think_tool_token_processor,create_tool_call_failure_messages,emitter.emit,extract_url_snippet_map,format,function_span,generate_intermediate_report,generate_tools_description,get_current_llm_day_time,get_research_agent_additional_tool_definitions,isinstance,logger.debug,logger.error,logger.info,max,msg_history.append,msg_history.extend,run_llm_step,run_tool_calls,state_container.add_search_docs,state_container.add_tool_call,state_container.get_tool_calls,str
300	backend/onyx/server/documents/connector.py	get_connector_indexing_status	966	1321	13	66	1	2	0	0	0	ConnectorIndexingStatusLite,ConnectorIndexingStatusLiteResponse,Depends,FederatedConnectorStatus,SourceSummary,_apply_connector_status_filters,_apply_federated_connector_status_filters,_attempt_lookup,_get_connector_indexing_status_lite,append,bool,build_connector_indexing_status,cast,cc_pair_to_document_cnt.get,cc_pair_to_latest_finished_index_attempt.get,cc_pair_to_latest_index_attempt.get,cc_pair_to_latest_successful_index_attempt.get,connector_status.source.to_non_federated_source,editable_statuses.append,federated_connector.source.replace,federated_statuses.extend,get_cc_pair_groups_for_ids,get_connector_credential_pairs_for_user_parallel,get_current_tenant_id,get_document_counts_for_all_cc_pairs,get_effective_permissions,get_latest_index_attempts_parallel,get_latest_successful_index_attempts_parallel,has_global_permission,isinstance,json.load,len,list,math.ceil,mt_cloud_telemetry,non_editable_statuses.append,open,parallel_functions.append,request.source_to_page.get,require_permission
293	backend/onyx/document_index/opensearch/search.py	DocumentQuery.get_hybrid_search_query	339	447	7	6	6	67	10	0	0	DocumentQuery._get_hybrid_search_subqueries,DocumentQuery._get_match_highlights_configuration,DocumentQuery._get_search_filters,ValueError
288	backend/onyx/context/search/federated/slack_search.py	slack_retrieval	997	1356	2	1	6	77	0	0	25	Chunker,DefaultIndexingEmbedder.from_db_search_settings,IndexingDocument,InferenceChunk,SlackEntities,TextSection,ValueError,_extract_channel_data_from_entities,build_slack_queries,chunker.chunk,convert_slack_score,direct_fetches.append,entities.get,fetch_and_cache_channel_metadata,fetch_thread_contexts_with_rate_limit_handling,filtered_messages.append,filtered_out_channels.add,get_channel_type,get_current_search_settings,get_default_llm,get_multipass_config,highlighted_texts.update,index_docs.append,isinstance,len,log_function_time,logger.debug,logger.info,logger.warning,match_highlight.replace,merge_slack_messages,msg.metadata.get,query_strings.append,relevant_chunks.append,run_functions_tuples_in_parallel,search_tasks.extend,set,should_include_message,sorted,sum
285	backend/onyx/document_index/opensearch/search.py	DocumentQuery._get_hybrid_search_subqueries	678	766	0	0	0	75	20	0	0	DocumentQuery._get_content_vector_similarity_search_query,DocumentQuery._get_title_content_combined_keyword_search_query,DocumentQuery._get_title_vector_similarity_search_query,ValueError
269	backend/onyx/server/manage/search_settings.py	set_new_search_settings	97	266	2	21	0	56	2	0	7	Depends,HTTPException,IdReturn,OnyxError,SavedSearchSettings,_compute_index_name,_guard_index_name_reuse,_resolve_reclaim_intent,create_search_settings,create_synthetic_seed_attempt,db_session.commit,document_index.verify_and_create_index_if_necessary,expire_index_attempts,fetch_indexable_standard_connector_credential_pair_ids,get_all_document_indices,get_connector_credential_pairs,get_current_search_settings,get_embedding_provider_from_provider_type,get_last_successful_attempt_poll_range_end,get_secondary_search_settings,indexing_start.timestamp,logger.warning,port_backfill_has_pending_work,require_permission,resync_cc_pair,router.post,search_settings_new.model_dump,set,set_reclaim_intent_on_current__no_commit,validate_contextual_rag_model
263	backend/onyx/db/persona.py	upsert_persona	1556	1900	40	27	5	11	0	0	22	DocumentSet.id.in_,HierarchyNode.id.in_,OnyxError,Persona,PersonaLabel.id.in_,Tool.id.in_,UserFile.id.in_,ValueError,_get_persona_by_name,_mark_files_need_persona_sync,all,can_delete_persona,can_manage_own_tool,checked_servers.add,db_session.add,db_session.commit,db_session.flush,db_session.query,existing_persona.attached_documents.clear,existing_persona.document_sets.clear,existing_persona.hierarchy_nodes.clear,existing_persona.labels.clear,existing_persona.user_files.clear,fetch_persona_by_id_for_user,filter,filter_accessible_hierarchy_node_ids,filter_by,filter_document_set_ids_by_user_access,first,get_accessible_documents_by_ids,get_user_external_group_ids,has_global_permission,len,list,set,user_can_access_mcp_server,validate_persona_tools
263	backend/onyx/federated_connectors/federated_retrieval.py	get_federated_retrieval_functions	32	287	27	18	0	40	0	0	17	FederatedRetrievalInfo,append,conn.search,create_retrieval_function,create_slack_retrieval_function,defaultdict,federated_retrieval_infos.append,federated_retrieval_infos_slack.append,fetch_slack_bots,get_federated_connector,get_federated_connector_document_set_mappings_by_document_set_names,len,list_federated_connector_oauth_tokens,logger.debug,logger.warning,next,oauth_token.federated_connector.credentials.get_value,oauth_token.federated_connector.source.to_non_federated_source,oauth_token.token.get_value,tenant_slack_bot.bot_token.get_value,tenant_slack_bot.user_token.get_value
260	backend/onyx/background/indexing/run_docfetching.py	connector_document_extraction	441	1010	22	42	0	16	0	0	0	ConnectorStopSignal,IndexingCoordination.set_total_batches,MemoryTracer,RedisDocprocessing,RuntimeError,ValueError,_check_connector_and_attempt_status,_check_failure_threshold,_get_connector_runner,_timed_connector_runs,app.send_task,batch_description.append,batch_storage.cleanup_all_batches,batch_storage.store_batch,cache_and_upsert_hierarchy_nodes,callback.should_stop,check_checkpoint_size,connector_runner.connector.build_dummy_checkpoint,connector_runner.run,create_index_attempt_error,datetime.fromtimestamp,datetime.now,db_connector.indexing_start.timestamp,db_session.commit,doc.to_short_descriptor,ensure_source_node_exists,format,get_document_batch_storage,get_index_attempt,get_last_successful_attempt_poll_range_end,get_latest_valid_checkpoint,get_node_id_from_raw_id,get_recent_completed_attempts_for_cc_pair,get_redis_client,get_session_with_current_tenant,get_source_node_id_from_cache,incr_pending,index_attempt.error_msg.startswith,index_attempt.status.is_terminal,int
254	backend/onyx/chat/process_message.py	build_chat_turn	615	1135	62	0	1	24	0	0	54	ChatMessageSimple,ChatTurnSetup,CreateChatSessionID,FileToolMetadata,LLMUserIdentity,MessageResponseIDInfo,ModelResponseSlot,MultiModelMessageResponseIDInfo,QueryProcessingPayload,RuntimeError,ValueError,_build_model_display_name,_collect_available_file_ids,_convert_loaded_files_to_chat_files,_load_context_user_files_for_tools,_resolve_query_processing_hook_result,_validate_existing_session_persona_access,all_injected_file_metadata.items,all_injected_file_metadata.setdefault,any,append_incognito_message,available_files.user_file_ids.append,bool,calculate_reserved_tokens,chat_files_for_tools.extend,chat_history.append,check_llm_cost_limit_for_provider,check_stop_signal,content_free_file_descriptors,convert_chat_history,create_chat_history_chain,create_chat_session_from_request,create_new_chat_message,db_session.commit,default_tokenizer.encode,determine_search_params,execute_hook,extract_context_files,fd.get,find_summary_for_branch
242	backend/onyx/background/celery/tasks/docprocessing/tasks.py	_docprocessing_task	1631	2050	36	24	0	15	9	0	2	CURRENT_TENANT_ID_CONTEXTVAR.set,DefaultIndexingEmbedder.from_db_search_settings,DocumentIndexingBatchAdapter,HttpxPool.get,IndexAttemptMetadata,IndexingCallback,IndexingCoordination.get_coordination_status,IndexingCoordination.update_batch_completion_and_docs,RedisConnector,RuntimeError,ValueError,_check_chunk_usage_limit,_check_failure_threshold,_record_docprocessing_failure_persistent,_resolve_indexing_document_errors,callback.should_stop,create_index_attempt_error,cross_batch_db_lock.acquire,cross_batch_db_lock.release,emit_process_memory,gc.collect,get_all_document_indices,get_document_batch_storage,get_index_attempt,get_redis_client,get_session_with_current_tenant,httpx_init_vespa_pool,increment_usage,index_attempt.search_settings.status.is_future,index_attempt.status.is_terminal,int,len,make_randomized_onyx_request_id,mark_attempt_failed,max,optional_telemetry,os.getpid,per_batch_lock.owned,per_batch_lock.release,r.lock
242	backend/onyx/tools/tool_constructor.py	_construct_tools_impl	178	550	26	2	0	52	8	0	2	CodingAgentTool,CustomToolConfig,DynamicSchemaInfo,FileReaderTool,FileReaderToolConfig,ImageGenerationProviderCredentials,ImageGenerationTool,MCPTool,MemoryTool,OAuthTokenManager,OpenURLTool,PersonaSearchInfo,PythonTool,SearchTool,SearchToolConfig,ValueError,WebSearchTool,_build_search_tool,_disambiguate_mcp_tool_names,_get_image_generation_config,build_custom_tools_from_openapi_schema_and_headers,cast,get_all_mcp_tools_for_server,get_built_in_tool_by_id,get_builtin_tool,get_current_search_settings,get_default_document_index,get_mcp_server_by_id,get_oauth_config,header_dict_to_header_list,logger.debug,logger.error,logger.exception,logger.warning,resolve_mcp_credentials,should_disable_open_url_web_fetch,str,token_manager.get_valid_access_token,tool_cls.is_available,tool_dict.values
241	backend/onyx/document_index/opensearch/search.py	DocumentQuery.get_keyword_search_query	450	531	7	6	2	62	3	0	0	DocumentQuery._get_match_highlights_configuration,DocumentQuery._get_search_filters,DocumentQuery._get_title_content_combined_keyword_search_query,ValueError
239	backend/onyx/context/search/pipeline.py	search_pipeline	263	348	12	9	4	49	5	0	1	ChunkIndexRequest,_build_index_filters,fetch_ee_implementation_or_noop,log_function_time,search_chunks,strip_stopwords
232	backend/onyx/document_index/opensearch/search.py	DocumentQuery.get_semantic_search_query	534	612	7	6	2	56	6	0	0	DocumentQuery._get_content_vector_similarity_search_query,DocumentQuery._get_search_filters,ValueError
216	backend/onyx/document_index/opensearch/schema.py	DocumentSchema.get_document_schema	375	584	7	4	2	49	10	0	1	-
216	backend/onyx/server/features/search/api.py	search	57	213	14	11	1	41	4	1	3	BaseFilters,ChatMinimalTextMessage,Depends,LLMProviderView.from_model,NullEmitter,OnyxError,PersonaSearchInfo,Placement,SearchResponse,SearchResult,SearchTool,SearchToolOverrideKwargs,TimeRange,can_user_access_llm_provider,cast,check_llm_cost_limit_for_provider,entry.get,fetch_existing_llm_provider,fetch_user_group_ids,get_current_search_settings,get_current_tenant_id,get_default_document_index,get_default_llm,get_llm_for_persona,get_persona_by_id,get_tools,has_global_permission,json.loads,llm_from_provider,load_settings,next,require_permission,router.post,search_tool.run
212	backend/onyx/db/swap_index.py	check_and_perform_index_swap	255	372	0	35	0	23	1	0	0	_perform_index_swap,_port_swap_ready,_required_cc_pairs_for_switchover,_required_users_for_switchover,count_unique_active_cc_pairs_with_successful_index_attempts,count_unique_cc_pairs_with_successful_index_attempts,get_connector_credential_pairs,get_secondary_search_settings,len,logger.error,max
210	backend/onyx/context/search/retrieval/search_runner.py	search_chunks	89	163	3	2	10	48	4	0	0	ValueError,_keyword_search,combine_retrieval_results,federated_retrieval_info.source.to_non_federated_source,get_federated_retrieval_functions,len,list,logger.debug,run_functions_tuples_in_parallel,run_queries.append,set
206	backend/onyx/document_index/vespa/shared_utils/vespa_request_builders.py	build_vespa_filters	30	275	8	10	29	4	7	0	1	_append,_build_kge,_build_or_filters,_build_persona_filter,_build_time_filter,_build_user_project_filter,_build_weighted_set_filter,build_tenant_id_filter,clauses.append,combined_filter_parts.append,cutoff.timestamp,cutoff_upper.timestamp,datetime.now,entity.endswith,entity.split,filter_parts.append,int,join,len,logger.warning,parts.append,split_relationship_id,timedelta
203	backend/onyx/tools/tool_runner.py	run_tool_calls	232	453	5	0	0	40	0	0	73	ChatMinimalTextMessage,CodingAgentToolOverrideKwargs,MemoryToolOverrideKwargs,OpenURLToolOverrideKwargs,ParallelToolCallResponse,PythonToolOverrideKwargs,SearchToolOverrideKwargs,ValueError,WebSearchToolOverrideKwargs,_merge_tool_calls,citation_mapping.items,citation_mapping.update,filtered_tool_calls.append,isinstance,len,list,logger.warning,range,run_functions_tuples_in_parallel,tool.emit_start,tool_run_params.append,user_memory_context.without_memories
193	backend/onyx/background/celery/tasks/docprocessing/tasks.py	_kickoff_indexing_tasks	747	845	3	31	0	21	0	0	0	_KickoffResult,active_indexing_attempt,get_connector_credential_pair_from_id,lock_beat.reacquire,mark_ccpair_with_indexing_trigger,search_settings.status.is_current,should_index,task_logger.debug,task_logger.error,task_logger.info,task_logger.warning,try_creating_docfetching_task
188	backend/onyx/mcp_server/tools/search.py	search_indexed_documents	273	413	5	12	6	35	0	0	1	SearchRequest,SearchResponse.model_validate_json,_TIME_CUTOFF_ADAPTER.validate_python,_error_payload,_extract_error_detail,_post_model,_record_requested_sources,_resolve_filters,_to_mcp_dict,build_api_server_url_for_http_requests,len,logger.error,logger.info,logger.warning,mcp_server.tool,record_mcp_search_results,record_mcp_server_tool_outcome,require_access_token,str,strip,time.monotonic
187	backend/onyx/server/onyx_api/ingestion.py	upsert_ingestion_doc	102	234	16	26	0	17	0	0	0	DefaultIndexingEmbedder.from_db_search_settings,Depends,Document.from_base,DocumentIndexingBatchAdapter,IndexAttemptMetadata,IngestionResult,OnyxError,RuntimeError,UUID,datetime.now,get_active_search_settings,get_all_document_indices,get_cc_pair_ids_for_document,get_connector_credential_pair_from_id,get_current_search_settings,get_current_tenant_id,get_secondary_search_settings,get_user_file_by_id,require_permission,router.post,run_indexing_pipeline,verify_user_can_edit_all_cc_pairs,verify_user_has_access_to_cc_pair
183	backend/onyx/db/swap_index.py	_perform_index_swap	54	185	0	12	0	34	8	0	9	cancel_active_port_attempts,cancel_indexing_attempts_for_search_settings,db_session.commit,delete_all_documents_for_connector_credential_pair,document_index.verify_and_create_index_if_necessary,get_all_document_indices,get_current_search_settings,get_kv_store,kv_store.store,len,logger.error,logger.exception,logger.notice,range,resync_cc_pair,time.sleep,update_default_contextual_model,update_no_default_contextual_rag_provider,update_search_settings_status
174	backend/onyx/context/search/federated/slack_search_utils.py	extract_date_range_from_query	140	253	0	0	0	56	0	0	6	SLACK_DATE_EXTRACTION_PROMPT.format,UserMessage,_parse_llm_code_block_response,data.get,int,isinstance,json.loads,llm.invoke,llm_generation_span,llm_response_to_string,logger.debug,logger.warning,match.group,min,query.lower,re.search,record_llm_response
172	backend/onyx/background/celery/tasks/pruning/tasks.py	connector_pruning_generator_task	481	776	6	39	0	1	0	0	1	HierarchyNodeCacheEntry.from_db_model,LoggerContextVars.reset,PruneCallback,RedisConnector,RedisConnectorPrunePayload,ValueError,_resolve_and_update_document_parents,all_connector_doc_ids.keys,backfill_docs_created_at__no_commit,cache_hierarchy_nodes_batch,cleanup_unowned_hierarchy_nodes,datetime.now,db_session.commit,dict,ensure_source_node_exists,evict_hierarchy_nodes_from_cache,extract_ids_from_runnable_connector,get_connector_credential_pair,get_documents_for_connector_credential_pair,get_redis_client,get_session_with_current_tenant,instantiate_connector,len,list,lock.acquire,lock.owned,lock.release,logger.info,observe_pruning_diff_duration,persist_hierarchy_nodes_for_cc_pair,pruning_ctx.get,pruning_ctx.set,r.lock,redis_connector.prune.generate_tasks,redis_connector.prune.reset,redis_connector.prune.set_failure_backoff,redis_connector.prune.set_fence,redis_connector.prune.set_generator_failed,remove_stale_hierarchy_node_cc_pair_entries,set
172	backend/onyx/document_index/opensearch/client.py	OpenSearchIndexClient.search	1563	1660	0	0	0	51	6	0	1	DocumentChunkWithoutVectors.model_validate,RuntimeError,hit.get,len,log_function_time,logger.debug,observe_opensearch_search,record_opensearch_search_error,search_hits.append,self._client.search,self._get_emit_metrics_context_manager,self._get_hits_and_profile_from_search_result,self._log_search_result_perf,time.perf_counter
167	backend/onyx/background/celery/tasks/connector_deletion/tasks.py	try_generate_document_cc_pair_cleanup_tasks	260	408	7	30	0	11	0	0	0	RedisConnector,RedisConnectorDeletePayload,TaskDependencyError,ValueError,cleanup_sync_records,datetime.now,get_active_port_attempt,get_all_search_settings,get_connector_credential_pair_from_id,get_recent_attempts_for_cc_pair,inc_deletion_blocked,inc_deletion_started,insert_sync_record,lock_beat.reacquire,redis_connector.delete.generate_tasks,redis_connector.delete.set_active,redis_connector.delete.set_fence,redis_connector.delete.taskset_clear,request_port_cancel,task_logger.exception,task_logger.info
164	backend/onyx/background/celery/tasks/docfetching/tasks.py	_docfetching_task	149	278	12	26	0	12	0	0	0	IndexingCallback,RedisConnector,SimpleJobException,_verify_indexing_attempt,get_connector_credential_pair_from_id,get_index_attempt,get_session_with_current_tenant,init_sentry,logger.debug,logger.exception,logger.info,os._exit,reap_children_before_exit,run_docfetching_entrypoint,str,type
164	backend/onyx/background/indexing/run_targeted_reindex.py	process_targets_for_cc_pair	214	352	7	35	0	3	0	0	1	CCPairReindexResult,_flush_batch,_persist_hierarchy_nodes,build_tracking_raw_file_callback,chunked,connector.reindex,connector.set_raw_file_callback,delete_files_best_effort,docs.append,enumerate,failed_from_connector.add,get_connector_credential_pair_from_id,hierarchy_nodes.append,instantiate_connector,isinstance,len,list,logger.debug,logger.info,logger.warning,set,str,targets_to_connector_failures
163	backend/onyx/background/celery/tasks/port/tasks.py	run_port_attempt	232	481	9	20	0	21	0	0	2	PortCopier,_PortLogAdapter,_copy_batch_with_retry,_sweep_port_orphan_candidates,attempt.status.is_resting,commit_port_cursor,filter_existing_cc_pair_document_ids,filter_existing_user_file_ids,get_connector_credential_pair_from_id,get_current_search_settings,get_document_ids_for_cc_pair_batch,get_port_attempt,get_search_settings_by_id,get_secondary_search_settings,get_session_with_current_tenant,get_user_file_ids_for_user_batch,len,log.exception,log.info,log.warning,mark_port_canceled,mark_port_failed,mark_port_in_progress,mark_port_succeeded,port_target_settings_id,request_port_cancel,str,time.monotonic,touch_port_progress,user_file_port_scope_active
163	backend/onyx/context/search/pipeline.py	_build_index_filters	40	142	12	25	6	5	0	0	0	BaseFilters,IndexFilters,OnyxError,TimeRange,ValueError,build_access_filters_for_user,filter_document_set_names_by_user_access,get_current_tenant_id,get_forced_document_set_names,log_function_time,max,sorted
162	backend/onyx/background/celery/tasks/docprocessing/utils.py	should_index	174	309	1	31	0	12	0	0	0	cc_pair.status.is_active,get_db_current_time,get_last_attempt_for_cc_pair,is_in_repeated_error_state,search_settings_instance.status.is_current,time_since_index.total_seconds
159	backend/onyx/tools/tool_implementations/web_search/web_search_tool.py	WebSearchTool.run	200	358	0	0	0	51	0	0	6	Packet,SearchDocsResponse,SearchToolDocumentsDelta,SearchToolQueriesDelta,ToolCallException,ToolResponse,_normalize_queries_input,all_search_results.append,convert_inference_sections_to_llm_string,convert_inference_sections_to_search_docs,enumerate,inference_section_from_internet_search_result,json.dumps,len,logger.warning,run_functions_tuples_in_parallel,seen.add,self.emitter.emit,set,valid_results.append,zip
158	backend/onyx/server/query_and_chat/session_loading.py	translate_assistant_message_to_packets	529	900	1	0	0	43	0	0	27	CitationInfo,CustomToolErrorInfo,GeneratedImage,OverallStop,Packet,Placement,TopLevelBranching,ValueError,append,cast,chat_message.message.lower,citation_info_list.append,citation_info_list.sort,citations.items,create_citation_packets,create_coding_agent_packets,create_custom_tool_packets,create_fetch_packets,create_file_reader_packets,create_image_generation_packets,create_memory_packets,create_message_packets,create_python_tool_packets,create_reasoning_packets,create_research_agent_packets,create_search_packets,custom_data.get,enumerate,extract_citation_order_from_text,f.get,float,get_db_search_doc_by_id,get_tool_by_id,isinstance,items,json.loads,len,logger.warning,max,memory_data.get
153	backend/onyx/document_index/opensearch/search.py	_get_hybrid_search_normalization_weights	62	107	0	0	0	42	9	0	0	ValueError,sum
151	backend/onyx/document_index/opensearch/search.py	DocumentQuery.get_random_search_query	615	675	7	6	2	32	3	0	0	DocumentQuery._get_search_filters,random.randint
150	backend/onyx/document_index/vespa/vespa_document_index.py	VespaDocumentIndex.hybrid_retrieval	903	959	0	0	2	40	6	2	0	YQL_BASE.format,build_vespa_filters,cleanup_content_for_chunks,join,len,logger.debug,logger.info,max,min,query_vespa,str
150	backend/onyx/server/query_and_chat/query_backend.py	admin_search	34	79	7	5	8	24	4	0	0	AdminSearchResponse,Depends,IndexFilters,SearchDoc.from_chunks_or_sections,admin_router.post,build_access_filters_for_user,deduplicated_documents.append,document_index.keyword_retrieval,document_index.random_retrieval,get_current_search_settings,get_current_tenant_id,get_default_document_index,logger.notice,query.strip,require_permission,seen_documents.add,set
145	backend/onyx/document_index/opensearch/opensearch_document_index.py	OpenSearchDocumentIndex.hybrid_retrieval	792	846	2	0	3	40	3	0	0	DocumentQuery.get_hybrid_search_query,cleanup_content_for_chunks,convert_retrieved_opensearch_chunk_to_inference_chunk_uncleaned,get_normalization_pipeline_name_and_config,join,logger.debug,self._client.search
141	backend/onyx/setup.py	setup_onyx	87	182	8	5	0	32	3	0	0	EmbeddingModel.from_db_model,IndexingSetting.from_db_model,RuntimeError,cancel_indexing_attempts_past_model,check_and_perform_index_swap,expire_index_attempts,get_active_search_settings,get_all_document_indices,get_connector_credential_pairs,logger.notice,mark_reindex_flag,resync_cc_pair,setup_document_indices,setup_postgres,update_default_multipass_indexing,warm_up_bi_encoder
140	backend/onyx/onyxbot/slack/handlers/handle_regular_answer.py	handle_regular_answer	140	502	16	6	4	17	0	0	17	BaseFilters,CURRENT_USER_ID_CONTEXTVAR.reset,CURRENT_USER_ID_CONTEXTVAR.set,ChatSessionCreationRequest,RuntimeError,SearchTool.is_available,SendMessageRequest,ThreadMessage,_get_slack_answer,build_slack_context_str,build_slack_response_blocks,channel_conf.get,client.chat_deleteScheduledMessage,gather_stream,get_anonymous_user,get_channel_name_from_id,get_or_create_slack_service_account,get_persona_by_id,get_user_by_email,handle_stream_message_objects,join,len,logger.error,logger.exception,logger.info,logger.notice,logger.warning,next,rate_limits,resolve_channel_references,respond_in_thread_or_channel,retry_builder,slack_channel_config.channel_config.get,str,update_emote_react
