SCORE	PATH	SYMBOL	START	END	IDENTITY	ACL	FILTER	RETRIEVAL	BACKEND	RERANK	CONTEXT	CALLS
5	backend/onyx/connectors/bitbucket/utils.py	map_pr_to_document	195	303	1	0	0	1	0	0	0	BasicExpertInfo,Document,TextSection,_get_user_name,bool,created_on.replace,created_on.split,datetime.fromisoformat,datetime_to_utc,get,isinstance,join,p.get,pr.get,str,updated_on.replace,updated_on.split
5	backend/onyx/connectors/gong/connector.py	GongConnector._build_document	303	364	1	0	0	1	0	0	0	Document,TextSection,astimezone,call_details.get,call_metadata.get,call_time_str.split,cast,datetime.fromisoformat,id_to_name_map.get,join,len,logger.error,logger.info,segment.get,self._parse_parties,sentence.get
5	backend/onyx/connectors/google_drive/doc_conversion.py	align_basic_advanced	521	583	1	0	0	1	0	0	0	TextSection,_find_nth,heading.find,heading.split,isinstance,join,len,logger.warning,max,new_sections.append,range,strip,text.count,text.split
5	backend/onyx/connectors/sharepoint/connector.py	SharepointConnector.fetch_sites	1838	1854	1	0	0	1	0	0	0	RuntimeError,SiteDescriptor,execute_query,self._filter_excluded_sites,self._handle_paginated_sites,self.graph_client.sites.get_all_sites
5	backend/onyx/db/connector.py	get_kg_enabled_connectors	377	400	1	0	0	1	0	0	0	KGConnectorData,db_session.execute,logger.error,lower,result.fetchall,select,str,where
5	backend/onyx/db/encrypted_kv_store.py	load_encrypted_kv	30	35	1	0	0	1	0	0	0	cast,db_session.query,filter_by,first,get_session_with_current_tenant,obj.value.get_value
5	backend/onyx/db/encrypted_kv_store.py	delete_encrypted_kv	38	43	1	0	0	1	0	0	0	db_session.commit,db_session.query,delete,filter_by,get_session_with_current_tenant
5	backend/onyx/db/models.py	SearchSettings.large_chunks_enabled	2430	2439	0	0	0	1	0	0	2	SearchSettings.can_use_large_chunks
5	backend/onyx/external_apps/matching/engine.py	actions_requiring_approval	101	125	1	0	0	1	0	0	0	EndpointPolicy,action.get,action_types.add,isinstance,set,sorted
5	backend/onyx/file_store/azure_blob_file_store.py	AzureBlobBackedFileStore.get_file_size	316	343	1	0	0	1	0	0	0	FileNotFoundError,blob_client.get_blob_properties,client.get_blob_client,get_filerecord_by_file_id,get_session_with_current_tenant_if_none,logger.warning,self._get_blob_service_client
5	backend/onyx/file_store/file_store.py	S3BackedFileStore.get_file_size	465	495	1	0	0	1	0	0	0	FileNotFoundError,e.response.get,get,get_filerecord_by_file_id,get_session_with_current_tenant_if_none,logger.warning,response.get,s3_client.head_object,self._get_s3_client
5	backend/onyx/file_store/gcs_file_store.py	GCSBackedFileStore.get_file_size	271	297	1	0	0	1	0	0	0	FileNotFoundError,blob.reload,bucket.blob,client.bucket,get_filerecord_by_file_id,get_session_with_current_tenant_if_none,logger.warning,self._get_gcs_client
5	backend/onyx/key_value_store/store.py	PgRedisKVStore.load	53	88	1	0	0	1	0	0	0	cached.decode,cast,db_session.query,filter_by,first,get,get_session_with_current_tenant,json.dumps,json.loads,logger.error,obj.encrypted_value.get_value,self._get_cache,set,str
5	backend/onyx/key_value_store/store.py	PgRedisKVStore.delete	90	102	1	0	0	1	0	0	0	db_session.commit,db_session.query,delete,filter_by,get_session_with_current_tenant,logger.error,self._get_cache,str
